Team,full_name,salary
Detroit Pistons,Hamidou Diallo,1663861
Detroit Pistons,Isaiah Stewart II,3121080
Detroit Pistons,Jahlil Okafor,1882867
Detroit Pistons,Jerami Grant,19050000
Detroit Pistons,Josh Jackson,4767000
Detroit Pistons,Killian Hayes,5307120
Detroit Pistons,Mason Plumlee,8000000
Detroit Pistons,Rodney McGruder,5192307
Detroit Pistons,Saddiq Bey,2689920
Detroit Pistons,Sekou Doumbouya,3449400
Detroit Pistons,Tyler Cook  E,99020
Detroit Pistons,Wayne Ellington,1620564
Detroit Pistons,Zhaire Smith,1068200
Golden State Warriors,Alen Smailagic,1517981
Golden State Warriors,Andrew Wiggins,29542010
Golden State Warriors,Damion Lee,1762796
Golden State Warriors,Draymond Green,22246956
Golden State Warriors,Eric Paschall,1517981
Golden State Warriors,James Wiseman,8730240
Golden State Warriors,Jordan Poole,2063280
Golden State Warriors,Kelly Oubre,14375000
Golden State Warriors,Kent Bazemore,1620564
Golden State Warriors,Kevon Looney,4821429
Golden State Warriors,Klay Thompson,35361360
Golden State Warriors,Mychal Mulder,1517981
Golden State Warriors,Shaun Livingston,666667
Golden State Warriors,Stephen Curry,43006362
Houston Rockets,Avery Bradley,5635000
Houston Rockets,Ben McLemore,2283034
Houston Rockets,Bruno Caboclo,361256
Houston Rockets,Chris Clemons,1517981
Houston Rockets,Christian Wood,13015874
Houston Rockets,Dante Exum,9600000
Houston Rockets,Danuel House,3717000
Houston Rockets,DaQuan Jeffries,1445697
Houston Rockets,David Nwaba,1824003
Houston Rockets,DeMarcus Cousins,1620564
Houston Rockets,DJ Augustin,6666667
Houston Rockets,DJ Wilson,4548280
Houston Rockets,Eric Gordon,16869276
Houston Rockets,Jae'Sean Tate,1445697
Houston Rockets,Jerian Grant,50000
Houston Rockets,John Wall,41254920
Houston Rockets,Kelly Olynyk,12819649
Houston Rockets,Kevin Porter Jr,1717981
Houston Rockets,KJ Martin,898310
Houston Rockets,Mason Jones,61528
Houston Rockets,Sterling Brown,1620564
Houston Rockets,Troy Williams,122741
Indiana Pacers,Aaron Holiday,2345640
Indiana Pacers,Caris LeVert,16203704
Indiana Pacers,Domantas Sabonis,19800000
Indiana Pacers,Doug McDermott,7333333
Indiana Pacers,Edmond Sumner,2160000
Indiana Pacers,Goga Bitadze,2957520
Indiana Pacers,JaKarr Sampson,1620564
Indiana Pacers,Jalen Lecque,1517981
Indiana Pacers,Jeremy Lamb,10500000
Indiana Pacers,Justin Holiday,5720400
Indiana Pacers,Kelan Martin,1445697
Indiana Pacers,Malcolm Brogdon,20700000
Indiana Pacers,Monta Ellis,2245400
Indiana Pacers,Myles Turner,18000000
Indiana Pacers,Oshae Brissett,99020
Indiana Pacers,TJ McConnell,3500000
Indiana Pacers,TJ Warren,12000000
Los Angeles Clippers,Daniel Oturu,898310
Los Angeles Clippers,DeMarcus Cousins,110998
Los Angeles Clippers,Ivica Zubac,7000000
Los Angeles Clippers,Kawhi Leonard,34379100
Los Angeles Clippers,Luke Kennard,5273826
Los Angeles Clippers,Marcus Morris,14883721
Los Angeles Clippers,Nicolas Batum,1620564
Los Angeles Clippers,Patrick Beverley,13333333
Los Angeles Clippers,Patrick Patterson,3077704
Los Angeles Clippers,Paul George,35450412
Los Angeles Clippers,Rajon Rondo,8250000
Los Angeles Clippers,Reggie Jackson,1620564
Los Angeles Clippers,Serge Ibaka,9258000
Los Angeles Clippers,Terance Mann,1517981
Los Angeles Lakers,Alex Caruso,2750000
Los Angeles Lakers,Alfonzo McKinnie,1762796
Los Angeles Lakers,Andre Drummond,554988
Los Angeles Lakers,Anthony Davis,32742000
Los Angeles Lakers,Ben McLemore,455090
Los Angeles Lakers,Damian Jones,110998
Los Angeles Lakers,Damian Jones  E,110998
Los Angeles Lakers,Dennis Schroder,16000000
Los Angeles Lakers,Jared Dudley,1620564
Los Angeles Lakers,Jordan Bell,580062
Los Angeles Lakers,Kentavious CaldwellPope,12073020
Los Angeles Lakers,Kyle Kuzma,3562178
Los Angeles Lakers,LeBron James,39219566
Los Angeles Lakers,Luol Deng,5000000
Los Angeles Lakers,Marc Gasol,2564753
Los Angeles Lakers,Markieff Morris,1620564
Los Angeles Lakers,Montrezl Harrell,9258000
Los Angeles Lakers,Quinn Cook,1000000
Los Angeles Lakers,Quinn Cook  W,797183
Los Angeles Lakers,Talen HortonTucker,1517981
Los Angeles Lakers,Wesley Matthews,3623000
Memphis Grizzlies,Brandon Clarke,2602920
Memphis Grizzlies,Dakari Johnson,459414
Memphis Grizzlies,De'Anthony Melton,9571712
Memphis Grizzlies,Desmond Bane,1936440
Memphis Grizzlies,Dillon Brooks,11400000
Memphis Grizzlies,Dion Waiters,12650000
Memphis Grizzlies,Gorgui Dieng,16587688
Memphis Grizzlies,Grayson Allen,2545320
Memphis Grizzlies,Ja Morant,9166800
Memphis Grizzlies,Jaren Jackson Jr,7257360
Memphis Grizzlies,John Konchar,2100000
Memphis Grizzlies,Jonas Valanciunas,15000000
Memphis Grizzlies,Jontay Porter,1900000
Memphis Grizzlies,Justise Winslow,13000000
Memphis Grizzlies,Kyle Anderson,9505100
Memphis Grizzlies,Mario Hezonja,1977011
Memphis Grizzlies,Marko Guduric,2750000
Memphis Grizzlies,Tim Frazier,110998
Memphis Grizzlies,Tyus Jones,8817143
Memphis Grizzlies,Xavier Tillman Sr,1300000
Miami Heat,AJ Hammons,350087
Miami Heat,Andre Iguodala,15000000
Miami Heat,Bam Adebayo,5115492
Miami Heat,Duncan Robinson,1663861
Miami Heat,Goran Dragic,18000000
Miami Heat,Jimmy Butler,34379100
Miami Heat,Kendrick Nunn,1663861
Miami Heat,KZ Okpala,1517981
Miami Heat,Nemanja Bjelica,7150000
Miami Heat,Precious Achiuwa,2582160
Miami Heat,Ryan Anderson,5214583
Miami Heat,Trevor Ariza,12800000
Miami Heat,Tyler Herro,3822240
Miami Heat,Udonis Haslem,1620564
Miami Heat,Victor Oladipo,21000000
Milwaukee Bucks,Bobby Portis,3623000
Milwaukee Bucks,Brook Lopez,12697675
Milwaukee Bucks,Bryn Forbes,2337145
Milwaukee Bucks,Donte DiVencenzo,3044160
Milwaukee Bucks,Giannis Antetokounmpo,27528088
Milwaukee Bucks,Jeff Teague,510589
Milwaukee Bucks,Jon Leuer,3169348
Milwaukee Bucks,Jordan Nwora,898310
Milwaukee Bucks,Jrue Holiday,25876111
Milwaukee Bucks,Khris Middleton,33051724
Milwaukee Bucks,Larry Sanders,1865546
Milwaukee Bucks,Pat Connaughton,4938273
Milwaukee Bucks,PJ Tucker,7969537
Milwaukee Bucks,Rodions Kurucs,1780152
Milwaukee Bucks,Sam Merrill,898310
Milwaukee Bucks,Thanasis Antetokounmpo,1701593
Minnesota Timberwolves,Anthony Edwards,9757440
Minnesota Timberwolves,Cole Aldrich,685340
Minnesota Timberwolves,D'Angelo Russell,28649250
Minnesota Timberwolves,Ed Davis,5005350
Minnesota Timberwolves,Jaden McDaniels,1964760
Minnesota Timberwolves,Jake Layman,3761085
Minnesota Timberwolves,Jarred Vanderbilt,1663861
Minnesota Timberwolves,Jarrett Culver,6104280
Minnesota Timberwolves,Jaylen Nowell,1517981
Minnesota Timberwolves,Josh Okogie,2651040
Minnesota Timberwolves,Juancho Hernangomez,6493000
Minnesota Timberwolves,KarlAnthony Towns,29467800
Minnesota Timberwolves,Malik Beasley,13425895
Minnesota Timberwolves,Naz Reid,1517981
Minnesota Timberwolves,Ricky Rubio,17000000
New Orleans Pelicans,Brandon Ingram,27285000
New Orleans Pelicans,Eric Bledsoe,16875000
New Orleans Pelicans,Isaiah Thomas,110998
New Orleans Pelicans,James Johnson,16047100
New Orleans Pelicans,Jaxson Hayes,5105160
New Orleans Pelicans,Josh Hart,3491159
New Orleans Pelicans,Kira Lewis Jr,3640200
New Orleans Pelicans,Lonzo Ball,11003782
New Orleans Pelicans,Nickeil AlexanderWalker,3113160
New Orleans Pelicans,Sindarius Thornwell,721484
New Orleans Pelicans,Sindarius Thornwell  E,110998
New Orleans Pelicans,Steven Adams,29592695
New Orleans Pelicans,Wenyen Gabriel,1620564
New Orleans Pelicans,Wesley Iwundu,1678854
New Orleans Pelicans,Willy Hernangomez,1620564
New Orleans Pelicans,Zion Williamson,10245480
New York Knicks,Alec Burks,6000000
New York Knicks,Andrew White,25000
New York Knicks,Derrick Rose,7682926
New York Knicks,Elfrid Payton,4767000
New York Knicks,Frank Ntilikina,6176578
New York Knicks,Immanuel Quickley,2105520
New York Knicks,Jacob Evans,2017320
New York Knicks,Joakim Noah,6431667
New York Knicks,John Henson,110998
New York Knicks,Julius Randle,18900000
New York Knicks,Kevin Knox,4588680
New York Knicks,Mitchell Robinson,1663861
New York Knicks,Nerlens Noel,5000000
New York Knicks,Norvel Pelle,99020
New York Knicks,Obi Toppin,4862040
New York Knicks,Omari Spellman,1988280
New York Knicks,Reggie Bullock,4200000
New York Knicks,RJ Barrett,8231760
New York Knicks,Taj Gibson,1442968
New York Knicks,Terrance Ferguson,3944013
New York Knicks,Tyler Hall,25000
New York Knicks,Vincent Poirier,2619207
New York Knicks,Wayne Ellington,1000000
Oklahoma City Thunder,Admiral Schofield,1517981
Oklahoma City Thunder,Al Horford,27500000
Oklahoma City Thunder,Aleksej Pokuesvski,2964840
Oklahoma City Thunder,Austin Rivers,3500000
Oklahoma City Thunder,Darius Bazley,2399160
Oklahoma City Thunder,Darius Miller,7000000
Oklahoma City Thunder,Frank Jackson,250000
Oklahoma City Thunder,Isaiah Roby,1517981
Oklahoma City Thunder,Josh Gray,1620564
Oklahoma City Thunder,Justin Jackson,5029650
Oklahoma City Thunder,Justin Robinson,99020
Oklahoma City Thunder,Kenrich Williams,2000000
Oklahoma City Thunder,Kyle Singler,999200
Oklahoma City Thunder,Luguentz Dort,1517981
Oklahoma City Thunder,Meyers Leonard,9400000
Oklahoma City Thunder,Mike Muscala,2283034
Oklahoma City Thunder,Moses Brown,1250000
Oklahoma City Thunder,Patrick Patterson,737067
Oklahoma City Thunder,Shai GilgeousAlexander,4141320
Oklahoma City Thunder,Svi Mykhailiuk,1663861
Oklahoma City Thunder,Theo Maledon,2000000
Oklahoma City Thunder,TJ Leaf,4326825
Oklahoma City Thunder,Tony Bradley,3542060
Oklahoma City Thunder,Ty Jerome,2303040
Oklahoma City Thunder,Zylan Cheatham,1445697
Orlando Magic,Chuma Okeke,3121080
Orlando Magic,Cole Anthony,3285120
Orlando Magic,Devin Cannady,61528
Orlando Magic,Dwayne Bacon,1678854
Orlando Magic,Gary Harris,19160714
Orlando Magic,James Ennis,3300000
Orlando Magic,Jeff Teague,1620564
Orlando Magic,Jonathan Isaac,7362566
Orlando Magic,Khem Birch,3000000
Orlando Magic,Markelle Fultz,12288697
Orlando Magic,Michael CarterWilliams,3300000
Orlando Magic,Mo Bamba,5969040
Orlando Magic,Otto Porter,28489239
Orlando Magic,RJ Hampton,2193480
Orlando Magic,Terrence Ross,13500000
Orlando Magic,Wendell Carter Jr,5448840
Philadelphia 76ers,Ben Simmons,30559200
Philadelphia 76ers,Danny Green,15365853
Philadelphia 76ers,Dwight Howard,1620564
Philadelphia 76ers,Furkan Korkmaz,1762796
Philadelphia 76ers,George Hill,9590602
Philadelphia 76ers,Ignas Brazdelkis,1517981
Philadelphia 76ers,Isaiah Joe,898310
Philadelphia 76ers,Joel Embiid,29542010
Philadelphia 76ers,Justin Anderson,125000
Philadelphia 76ers,Matisse Thybulle,2711280
Philadelphia 76ers,Mike Scott,5005350
Philadelphia 76ers,Paul Reed Jr,609128
Philadelphia 76ers,Seth Curry,7834449
Philadelphia 76ers,Shake Milton,1701593
Philadelphia 76ers,Tobias Harris,34358850
Philadelphia 76ers,Tyrese Maxey,2478840
Phoenix Suns,Abdel Nader,1752950
Phoenix Suns,Cameron Johnson,4235160
Phoenix Suns,Cameron Payne,1977011
Phoenix Suns,Chris Paul,41358814
Phoenix Suns,Damian Jones,785285
Phoenix Suns,Dario Saric,9250000
Phoenix Suns,Deandre Ayton,10018200
Phoenix Suns,Devin Booker,29467800
Phoenix Suns,E'Twaun Moore,1620564
Phoenix Suns,Frank Kaminsky,1620564
Phoenix Suns,Jae Crowder,9258000
Phoenix Suns,Jalen Smith,4245720
Phoenix Suns,Jevon Carter,3925000
Phoenix Suns,Langston Galloway,1620564
Phoenix Suns,Mikal Bridges,4359000
Phoenix Suns,Torrey Craig,1620564
Portland Trail Blazers,Anderson Varejao,1913345
Portland Trail Blazers,Andrew Nicholson,2844430
Portland Trail Blazers,Anfernee Simons,2252040
Portland Trail Blazers,Carmelo Anthony,1620564
Portland Trail Blazers,CJ Elleby,898310
Portland Trail Blazers,CJ McCollum,29354152
Portland Trail Blazers,Damian Lillard,31626953
Portland Trail Blazers,Derrick Jones,9258000
Portland Trail Blazers,Enes Kanter,5005350
Portland Trail Blazers,Harry Giles,1620564
Portland Trail Blazers,Jusuf Nurkic,12888889
Portland Trail Blazers,Nassir Little,2210640
Portland Trail Blazers,Norman Powell,10865952
Portland Trail Blazers,Robert Covington,12138345
Portland Trail Blazers,Zach Collins,5406255
Sacramento Kings,Buddy Hield,24701834
Sacramento Kings,Chimezie Metu,50000
Sacramento Kings,Chris Silva,1517981
Sacramento Kings,De'Aaron Fox,8099627
Sacramento Kings,Delon Wright,9000000
Sacramento Kings,Glenn Robinson III,930930
Sacramento Kings,Harrison Barnes,22215909
Sacramento Kings,Hassan Whiteside,1620564
Sacramento Kings,Jabari Parker,6500000
Sacramento Kings,Jahmi'us Ramsey,1000000
Sacramento Kings,Justin James,1517981
Sacramento Kings,Marvin Bagley III,8963640
Sacramento Kings,Maurice Harkless,3623000
Sacramento Kings,Mfiondu Kabengele,2075880
Sacramento Kings,Norvel Pelle,99020
Sacramento Kings,Richaun Holmes,5005350
Sacramento Kings,Robert Woodard II,1500000
Sacramento Kings,Terence Davis,1517981
Sacramento Kings,Tyrese Haliburton,3831840
San Antonio Spurs,Cameron Reynolds,110998
San Antonio Spurs,Dejounte Murray,14286000
San Antonio Spurs,DeMar DeRozan,27739975
San Antonio Spurs,DeMarre Carroll,6119676
San Antonio Spurs,Derrick White,3516284
San Antonio Spurs,Devin Vassell,4033440
San Antonio Spurs,Drew Eubanks,1620564
San Antonio Spurs,Gorgui Dieng,1000000
San Antonio Spurs,Jakob Poeltl,8101852
San Antonio Spurs,Keldon Johnson,2048040
San Antonio Spurs,LaMarcus Aldridge,16750000
San Antonio Spurs,Lonnie Walker,2892000
San Antonio Spurs,Luka Samanic,2824320
San Antonio Spurs,Marquese Chriss,1824003
San Antonio Spurs,Patty Mills,13535714
San Antonio Spurs,Rudy Gay,14500000
San Antonio Spurs,Tre Jones,898310
San Antonio Spurs,Trey Lyles,5500000
Toronto Raptors,Alex Len,2258000
Toronto Raptors,Aron Baynes,7000000
Toronto Raptors,Chris Boucher,6500000
Toronto Raptors,DeAndre' Bembry,1737145
Toronto Raptors,Donta Hall,99020
Toronto Raptors,Fred VanVleet,21250000
Toronto Raptors,Gary Trent Jr,1663861
Toronto Raptors,Henry Ellenson,110998
Toronto Raptors,Kyle Lowry,30500000
Toronto Raptors,Malachi Flynn,1950600
Toronto Raptors,OG Anunoby,3872215
Toronto Raptors,Oshae Brissett,300000
Toronto Raptors,Pascal Siakam,30559200
Toronto Raptors,Patrick McCaw,4000000
Toronto Raptors,Paul Watson,1445697
Toronto Raptors,Rodney Hood,10047450
Toronto Raptors,Stanley Johnson,3804150
Utah Jazz,Bojan Bogdanovic,17850000
Utah Jazz,Derrick Favors,9258000
Utah Jazz,Donovan Mitchell,5195501
Utah Jazz,Elijah Hughes,898310
Utah Jazz,Ersan Ilyasova,754783
Utah Jazz,Georges Niang,1783557
Utah Jazz,Joe Ingles,10863637
Utah Jazz,Jordan Clarkson,11500000
Utah Jazz,Juwan Morgan,1517981
Utah Jazz,Matt Thomas,1517981
Utah Jazz,Mike Conley,34502132
Utah Jazz,Miye Oni,1517981
Utah Jazz,Royce O'Neale,8500000
Utah Jazz,Rudy Gobert,27525281
Utah Jazz,Shaquille Harrison,770433
Utah Jazz,Udoka Azubuike,1977000
Washington Wizards,Alex Len,1265372
Washington Wizards,Anthony Gill,898310
Washington Wizards,Anzejs Pasecniks,374297
Washington Wizards,Bradley Beal,28751774
Washington Wizards,Chandler Hutchison,2443440
Washington Wizards,Daniel Gafford,1517981
Washington Wizards,Davis Bertans,15000000
Washington Wizards,Deni Avdija,4469160
Washington Wizards,Isaac Bonga,1663861
Washington Wizards,Ish Smith,6000000
Washington Wizards,Jerome Robinson,3737520
Washington Wizards,Jordan Bell,110998
Washington Wizards,Raul Neto,1620564
Washington Wizards,Robin Lopez,7300000
Washington Wizards,Rui Hachimura,4692840
Washington Wizards,Russell Westbrook,41358814
Washington Wizards,Thomas Bryant,8333333
